"Data Source","World Development Indicators",

"Last Updated Date","2022-02-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Palau","PLW","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Papua New Guinea","PNG","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","167914","","","","","","","","","","","","","","","","","","","","","","","","","","","58959","","","","",
"Poland","POL","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46677","50950","52008","64237","75048","84213","89296","84687","79975","71954","63332","55421","53587","44022","37198","38026","","","28629","20806","11002","",
"Pre-demographic dividend","PRE","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","14761617","14728171","14627478","14630976","14210437","13669713","12931817","12767596","12654244","12862477","13056412","13492139","14257946","15163248","16164935","16813944","17793912","18318836","18366422","19151720","19380964","19848088","20374460","21798432","21032512","21227216","21197484","20930796","20402552","19595628","18220800","17636188","17572640","17069776","16917100","16884400","16960344","17406348","17269224","17290476","17842846","18043216","18897474","19023576","19427168","19051528","19788392","",
"Puerto Rico","PRI","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10539","15067","13375","15636","","","","","","","",
"Korea, Dem. People's Rep.","PRK","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16650","","","","","","","","","","","",
"Portugal","PRT","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","59376","60147","","38135","33615","21410","","23562","20656","","","","","","","","","","4113","","","7063","","","","","","","","","","","","","","","","","","","","2343","4830","6625","3478","","","",
"Paraguay","PRY","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","45044","","66661","","","50942","49740","47968","44287","41434","36388","31614","","31917","33485","34553","38778","37687","34342","29076","25110","19178","49377","16609","31733","","20886","","","7123","966","2121","9393","11815","13595","11826","18432","26537","33859","38768","39526","39531","41864","","","","","","","","78606",
"West Bank and Gaza","PSE","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16699","16596","20577","21486","22906","25257","31182","31909","33197","28219","24469","22579","19138","12333","9454","8308","8422","8057","6068","6032","8523","12385",
"Pacific island small states","PSS","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16346","15184","12090","10895","10909","16180","12840","13978","17957","17169","13582","11501","10711","10869","10215","9411","10404","8666","7277","4841","3592","3534","2266","3479","4796","4353","4389","6633","6901","",
"Post-demographic dividend","PST","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","3289868","3279866","3325067","3209871","3314645","3119868","2814989","2713555","2541663","2445671","1620316","1694392","1561787","1747602","1833728","1769763","1502303","1235472","1062867","964491","870567","821227","1007230","1089532","1088675","976288","1039874","939857","688320","631535","667777","635750","690134","705367","676797","417074","366248","399459","405091","468461","482784","521564","581981","665141","540406","509832","327621","380369","410150","431425","",
"French Polynesia","PYF","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","618","646","844","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Qatar","QAT","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","1707","1165","1088","1278","","859","1113","771","737","","878","","1261","1153","1312","840","2174","2494","3009","3831","5073","6109","6210","4914","","","","","","547","","","","","","648","","","","","","","2116","2590","1832","1940","1613","309","258","",
"Romania","ROU","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","163167","110487","79528","71726","72212","45107","60625","56349","50418","31444","12183","","2429","10023","9591","10876","10281","11683","13590","18009","","","41212","51610","62326","66576","66026","",
"Russian Federation","RUS","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","110024","231932","","","","","","","","","","","170175","147644","45598","6665","","","","","58883","26164","6234","","","","",
"Rwanda","RWA","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","170137","180389","189613","","183100","178776","","","","","","","","","","","","","","","","","","","","","87107","","","120105","91614","","","","","","","","","","","","","1351","18096","38344","59284","",
"South Asia","SAS","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","25639592","26690320","26461260","24947916","25663364","25232770","25429484","24954180","27300508","27838312","27622266","27149040","27738668","27277174","26664032","27207288","26431212","28151958","26863068","25361508","25905728","26095538","25892668","24701566","23654910","23586600","23429300","23506012","24418804","23683324","21876152","21507192","20609716","14487841","12386114","10816387","9929340","8234539","7511783","7788780","7444188","7696238","7355334","6568672","8196148","8713451","8394453","8378104","8358661","7920938","",
"Saudi Arabia","SAU","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","467507","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","137202","46867","45039","","","","","41291","","","","83634",
"Sudan","SDN","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1265226","1256427","1246702","1237439","1246776","1175863","1226657","1127796","","",
"Senegal","SEN","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","315530","318073","324816","330707","336247","340861","349393","357386","335499","","352591","","382201","","409666","","","","410228","383502","365981","382382","355841","","","310851","328403","322162","295466","273781","263913","262104","252742","247440","217729","234981","232127","238090","","","","274164","261999",
"Singapore","SGP","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","150","","",
"Solomon Islands","SLB","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9317","7459","7712","","","","","","","","","","","1982","2052","",
"Sierra Leone","SLE","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","210865","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23588","","","9053","","","","","",
"El Salvador","SLV","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","110265","","","","","","","","","","","","","97629","","","","","","","","","","","","","","","37827","","30470","27250","19668","18491","","","","","","","","","","","23765","30766","34932","49111","45491","51633","",
"San Marino","SMR","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41",
"Somalia","SOM","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","263328","296823","343562","385127","426485","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Serbia","SRB","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","165","1692","2256","5510","7666","3434","4830","4381","1283","934","1026","1250","1625","2481","3747",
"Sub-Saharan Africa (excluding high income)","SSA","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","17060420","17176758","16858272","16546968","16036466","15736891","15447113","15358040","15676934","16344658","17287564","18398552","19504904","20369780","20856162","21704344","21786512","22504716","22890212","23356404","23869996","25097332","24206368","24231124","24075076","23382304","22652360","22252156","21159500","20417344","19506440","18643852","17952358","17474120","17475810","18062644","17540962","17525916","17619446","17906576","18684028","18747416","19170764","19184128","19807756","",
"South Sudan","SSD","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","501309","","","","580070","","","","","",
"Sub-Saharan Africa","SSF","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","17060882","17177346","16858880","16547574","16037159","15737730","15447869","15358731","15677625","16345392","17288212","18399126","19505612","20370600","20856988","21705100","21787174","22505376","22890824","23356788","23870316","25097652","24206570","24231148","24075168","23382376","22652748","22252224","21159530","20417378","19506476","18643960","17952432","17474180","17475852","18062644","17540962","17525916","17619484","17906628","18684074","18747508","19170916","19184294","19807892","",
"Small states","SST","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","331301","341875","337073","331453","315979","304770","298386","287117","298836","306735","311568","304595","295704","296481","294288","291837","305267","310307","323922","336568","370305","389211","406516","413641","401361","408918","410207","406918","401492","409192","366299","344238","334994","324526","315815","310661","294278","293210","285259","281332","263857","251744","246865","248630","248523","242625","241022","235998","240371","233497","",
"Sao Tome and Principe","STP","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","359","378","","","","787","","798","","","","","","","","","2453","","","795","545","347","356","","1245","1186","967","1182","","","1774","1832","2024","","1037","","","",
"Suriname","SUR","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","1995","1653","","","","","","","","","","","","","","","","","","","","","","","","","","","5112","4406","5028","2948","1770","2371","2856","2787","2967","2886","2589","2197","3560","3640","3206","",
"Slovak Republic","SVK","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5263","8839","10876","10977","8970","5777","2861","2704","3929","5287","5932","4674","4430","5532","6683","7296","6061","4809","3705","",
"Slovenia","SVN","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3683","2687","2370","980","1538","1328","1567","1139","753","20","","","430","382","365","324","26","","144","207","","","","","","",
"Sweden","SWE","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","12216","","","","","5803","4623","3558","1294","459","","","","","","","","","","","","3801","11246","15564","15701","11390","4867","","","","","","","","","","","","",
"Eswatini","SWZ","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","17933","18538","18222","17451","17295","16536","16698","16874","17402","17707","","16857","18284","19578","20607","20156","21660","21719","23201","24115","23257","23890","23331","24027","21768","18985","19710","","","","","","","","","","","","","17710","12301","9550","12968","15980","15245","16453","16596","17972","17707","16301","",
"Sint Maarten (Dutch part)","SXM","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Seychelles","SYC","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","693","","","","","","","","","","","","","","610","386","321","319","","","","","386","69","","","","","","","","","","","","","","","","","","",
"Syrian Arab Republic","SYR","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","256440","","212232","","","","","208129","209180","195009","193263","186624","183345","166455","150987","133203","97206","99830","96257","103444","","","","","","90950","99500","84274","","","","","","","","","","","","","","","263550","","","","","","","",
"Turks and Caicos Islands","TCA","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","197","","118","126","23","203","403","284","271","","","","","","","","","","","","","","","",
"Chad","TCD","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","270973","","281476","","","","","","","","","","","365915","","","","","","","","","439118","425839","424272","423774","427058","422585","426305","","","","","","","","497469","","378487","","379252","453380","539891","466355","483664","",
"East Asia & Pacific (IDA & IBRD countries)","TEA","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","11527534","7956459","6779550","5656215","5532496","5550889","5919812","6549410","7498380","8790710","9614745","10284570","8141387","5551523","5128118","4500710","4195705","4109829","4246015","4276971","4739499","3627864","3580773","3220840","2880586","2459219","2693922","2722913","2769471","2838047","3019436","2869000","2881752","3027527","",
"Europe & Central Asia (IDA & IBRD countries)","TEC","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","967738","1020044","1139305","1081757","1117720","989912","873952","896810","775173","621702","542128","506377","644865","657152","601960","486264","516083","435983","424694","428339","371874","396005","362691","367420","357856","366028","363624","",
"Togo","TGO","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","116592","117092","","","","","","98203","96531","97431","","108770","114060","137172","146611","161705","148056","150706","154683","153314","147785","","","169050","142113","120570","128136","","","","77154","","72306","","64348","","71824","66825","","","","","","62871","52778","66095","63145","48733","25663","",
"Thailand","THA","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","1016561","1017622","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53668","63610","74832","52066","","","","","","","","","","","",
"Tajikistan","TJK","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27487","30567","20435","","","","","","","","","","","","6083","8466","8863","","","","",
"Turkmenistan","TKM","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Latin America & the Caribbean (IDA & IBRD countries)","TLA","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","3196357","3215629","3178822","3079718","3008397","3033403","2925957","2751580","2661388","2310217","2223877","1946072","1919259","1942467","2019018","1923009","2026288","2033482","2136882","2364335","2236724","2158424","2071537","2072305","2310268","2384646","2256661","2443229","1489766","1087093","990385","1050234","911347","1117620","1045361","712033","632535","570624","652964","603364","669065","891081","812388","806647","838326","798179","812067","773810","728724","686648","",
"Timor-Leste","TLS","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15283","10579","10261","7912","9018","7684","5761","3998","3831","1511","2639","2729","",
"Middle East & North Africa (IDA & IBRD countries)","TMN","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","5376841","5541948","5172912","5122432","5137389","4838144","4622354","4496301","4413350","4666124","4328380","4492739","4345654","4313974","4217607","4223137","4151927","4082060","4004986","4108872","3703140","3633007","4335092","4328991","3942620","4343103","3830889","3899635","3900490","3703147","3392050","2902024","2426063","2195040","2042456","2095134","2144199","1835940","1708685","1574797","1390474","1356138","1255084","1428249","1525326","1531212","1523156","1475922","1431838","","",
"Tonga","TON","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","963","1007","487","","901","216","","","","","","","","477","","130","242","","","","507","","","480","","","","","480","796","","","","","","","","","","","","","","","","","","","","","",
"South Asia (IDA & IBRD)","TSA","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","25639592","26690320","26461260","24947916","25663364","25232770","25429484","24954180","27300508","27838312","27622266","27149040","27738668","27277174","26664032","27207288","26431212","28151958","26863068","25361508","25905728","26095538","25892668","24701566","23654910","23586600","23429300","23506012","24418804","23683324","21876152","21507192","20609716","14487841","12386114","10816387","9929340","8234539","7511783","7788780","7444188","7696238","7355334","6568672","8196148","8713451","8394453","8378104","8358661","7920938","",
"Sub-Saharan Africa (IDA & IBRD countries)","TSS","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","17060882","17177346","16858880","16547574","16037159","15737730","15447869","15358731","15677625","16345392","17288212","18399126","19505612","20370600","20856988","21705100","21787174","22505376","22890824","23356788","23870316","25097652","24206570","24231148","24075168","23382376","22652748","22252224","21159530","20417378","19506476","18643960","17952432","17474180","17475852","18062644","17540962","17525916","17619484","17906628","18684074","18747508","19170916","19184294","19807892","",
"Trinidad and Tobago","TTO","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","6404","7263","7846","7855","6664","3219","3119","4269","7949","10761","6185","5769","4974","6241","5960","7537","6198","5493","7219","7926","10352","11003","11745","","","10621","10082","","1382","373","764","3267","2872","726","2577","","","1359","1967","953","","","","","","","","","","",
"Tunisia","TUN","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","160672","","","","182510","","","168986","159760","150472","139468","123076","105749","88816","82027","","","","64280","65766","57916","53390","45420","43032","37768","41718","44856","","39167","29961","15005","","","","203","15","6048","4850","1456","","","","","","","","","","","",
"Turkey","TUR","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","578710","","","","","","","","","","","","","","","","","","","","359628","374468","","370251","","288190","","","","","","","122009","93807","110241","177226","143203","172925","216743","183138","149901","147831","162135","143085","138292","133381","",
"Tuvalu","TUV","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71","49","113","","","170","125",
"Tanzania","TZA","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","557840","651238","683353","","845664","898538","966179","1037020","1072945","1121887","1177406","1217841","1274942","1343559","1387689","1423038","1445717","1493950","1514563","1438713","1345839","901815","645320","497480","340378","125889","","37470","","262504","","487610","604459","685233","","668354","700780","842001","749689","808847",
"Uganda","UGA","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","794936","","790539","775202","","","","685141","","","","","","","","","","","","","","","","","","","","","","","133186","253910","147562","","109769","","","","","","","",
"Ukraine","UKR","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28972","96736","97407","90792","97335","97569","94918","89472","67621","49263","42650","42421","57849","","","","","","",
"Upper middle income","UMC","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","12847748","9590373","8471116","7144380","6144121","5973565","6502000","7192411","8446438","9752381","10585969","10988034","8304862","5186084","4813022","4438813","3714699","3286645","3246428","2897877","3438153","2747610","2796767","2762189","2983639","3243231","3266989","3064327","2992138","2893236","2960387","2981491","3034693","3148538","",
"Uruguay","URY","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","22167","","","","","","","11437","8627","7521","10111","10929","11584","11634","","","","","","","","","","2181","706","","","","","","4246","","","","","148","",
"United States","USA","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31482","","","","","","","","377311","","231900","52078","","76669","101961","",
"Uzbekistan","UZB","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88657","72486","77973","69483","62898","45738","33535","18323","","","","","","",
"St. Vincent and the Grenadines","VCT","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","631","","283","","","","","","","","","","","","","","","","","","","237","","","","","","","","","","","","","","","",
"Venezuela, RB","VEN","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","162629","120988","85312","31627","60281","60693","73579","75334","55133","89132","62183","50876","52781","79368","94212","89642","99384","134415","158656","","","",
"British Virgin Islands","VGB","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","69","121","","","","","","","","","","","","","","","14","184","38","","","","69","106","","","","33","","78","46","","","","","","","",
"Virgin Islands (U.S.)","VIR","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Vietnam","VNM","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Vanuatu","VUT","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","1530","","","","","","","","3021","","","","","","","","","","424","","","","","414","","","","","","","","","","","1503","","","","1096","873",
"World","WLD","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","76632976","79344496","78813968","73711688","73143912","70673896","70429336","72978544","78935424","79433040","76823904","74454816","73524176","72946512","71831712","68952408","65505904","64398156","62572648","60735836","61349664","61462952","63139752","63199364","63467880","65651860","66859652","66889084","64300864","60054672","56769112","54486580","52181804","44700024","41665004","38787744","37375428","33428720","31976256","31757624","31417024","30969422","30693964","30265960","32261116","33491012","33278072","33507876","33476776","33792500","",
"Samoa","WSM","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","630","","","","62","926","","","","","","","","","","","","","","","","","","","","","",
"Kosovo","XKX","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Yemen, Rep.","YEM","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","904826","","","","710058","658338","598287","","","540698","","467650","","423901","405279","","","431199","","","","",
"South Africa","ZAF","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","633294","","","","","","","","","","","","","","","","","","","","","372957","","","354284","333825","","","303972","259943","320974","272002","223655","183488","160915","152855","","","","","","","","","","","","198498","386532","379344","",
"Zambia","ZMB","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","126468","","","","124336","125999","133220","137932","141841","146002","152190","148434","147387","","144140","","164020","","","","","","248342","269834","","","318001","340602","343831","350193","329311","","197832","99654","116164","101879","","133307","177436","133908","113390","162875","","","","214262","","","",
"Zimbabwe","ZWE","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","169110","136620","117297","75204","105373","109702","","","","","","","","","","","","158464","162583","195402","197643","199509","187605",
